round,agent_id,vote,abstention,true_preference,pattern_weight
0,0,Candidate_0,False,Candidate_0,0.7
0,1,Candidate_0,False,Candidate_0,0.7
0,2,Candidate_0,False,Candidate_2,0.7
0,3,Candidate_0,False,Candidate_0,0.7
0,4,Candidate_2,False,Candidate_2,0.7
0,5,Candidate_0,False,Candidate_0,0.7
0,6,Candidate_0,False,Candidate_0,0.7
0,7,Candidate_2,False,Candidate_2,0.7
0,8,Candidate_0,False,Candidate_1,0.7
0,9,Candidate_0,False,Candidate_2,0.7
0,10,Candidate_0,False,Candidate_0,0.7
0,11,Candidate_0,False,Candidate_2,0.7
0,12,Candidate_0,False,Candidate_0,0.7
0,13,,True,Candidate_2,0.7
0,14,,True,Candidate_2,0.7
0,15,Candidate_0,False,Candidate_1,0.7
0,16,,True,Candidate_1,0.7
0,17,Candidate_0,False,Candidate_2,0.7
0,18,Candidate_1,False,Candidate_1,0.7
0,19,,True,Candidate_0,0.7
0,20,Candidate_0,False,Candidate_0,0.11252449776643264
0,21,Candidate_1,False,Candidate_1,0.0664661575251224
0,22,Candidate_1,False,Candidate_1,0.1541155632611227
0,23,Candidate_1,False,Candidate_1,0.0788854475099611
0,24,Candidate_1,False,Candidate_1,0.10561546147290862
0,25,Candidate_0,False,Candidate_0,0.1962530346922585
0,26,Candidate_2,False,Candidate_2,0.17870058931539692
0,27,,True,Candidate_0,0.037187298469246226
0,28,,True,Candidate_0,0.10323888336703997
0,29,Candidate_1,False,Candidate_1,0.060051476950990695
0,30,Candidate_0,False,Candidate_0,0.009138648880563482
0,31,Candidate_2,False,Candidate_2,0.08332389209957536
0,32,Candidate_1,False,Candidate_1,0.050134334170977395
0,33,Candidate_2,False,Candidate_2,0.0020571193774335805
0,34,Candidate_2,False,Candidate_2,0.1305405302232027
0,35,,True,Candidate_0,0.07544939023732043
0,36,Candidate_2,False,Candidate_2,0.041374884760106846
0,37,Candidate_1,False,Candidate_1,0.09564695946215898
0,38,,True,Candidate_2,0.013519559591512055
0,39,Candidate_1,False,Candidate_1,0.16696696833730762
